County/Sub County,Farming,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton
MATHIRA WEST,"15,919","14,301",151,,"13,009","13,485","2,048","3,869",72,133,"10,735","3,105","1,204","1,492",,,"5,531","2,539",,
NYERI SOUTH,"21,243","17,672",137,,"13,064","15,126","1,099","5,291",92,343,"13,483","9,351","1,887","4,813",,,"13,022","2,820",,
MUKURWE-INI,"22,973","20,938",484,,"5,816","19,153","4,756","6,743",116,104,"17,368","1,636","1,437","1,900",,,"9,201","4,313",,
NYERI CENTRAL,"18,108","14,736",172,,"13,184","13,326","1,413","3,853",171,172,"9,254","3,345","1,574","2,216",,,"7,009","2,294",,
MT. KENYA FOREST,44,3,1,,42,18,,,,,,7,,,,,6,,,
ABERDARE FOREST,2,1,,,2,1,,1,1,,,1,1,1,,,1,,,
KIRINYAGA,"139,866","100,197","8,880","21,557","22,133","83,440","20,215","25,556",,"4,285","73,990","18,370","15,866","10,460","-    2,643","2,049","40,338","19,104",,
KIRINYAGA CENTRAL,"27,890","20,599",936,"1,399","4,489","16,778","2,785","4,705",,166,"17,432","6,341","3,281","3,631",-    320,141,"10,337","3,704",,
KIRINYAGA EAST,"36,150","26,017",887,"1,139","9,543","22,155","8,136","7,676",,277,"26,011","7,674","3,589","3,515",-    264,498,"14,083","7,848",,
KIRINYAGA WEST,"27,280","22,028","1,436","1,193","2,302","19,144","4,494","7,243",,299,"17,617","2,966","1,803","2,284",-    319,304,"7,961","4,392",,
MWEA EAST,"25,729","17,855","2,136","7,991","5,477","14,361","2,989","3,226",,"1,530","7,892",957,"3,014",670,-    498,807,"4,659","2,096",,
MWEA WEST,"22,809","13,695","3,485","9,835",322,"10,999","1,811","2,705",,"2,013","5,037",430,"4,177",360,"-    1,242",299,"3,296","1,064",,
MT. KENYA FOREST,8,3,,,,3,,1,,,1,2,2,,,,2,,,
MURANG'A,"231,400","202,745","6,021",,"91,878","177,211","49,778","60,504",,"3,208","144,925","35,857","13,611","26,806",,,"86,317","21,753",,
MURANG'A EAST,"21,474","19,674","1,209",,"4,080","18,506","6,365","5,912",,288,"12,802",508,840,"1,172",,,"3,511","2,443",,
KANGEMA,"20,585","18,294",162,,"8,612","14,126","3,079","6,542",,439,"13,971","7,310",989,"5,146",,,"12,736","2,770",,
MATHIOYA,"23,395","20,339",144,,"10,072","16,968","3,485","6,725",,400,"15,506","4,847","1,293","3,811",,,"11,983","1,862",,
KAHURO,"23,127","20,102",186,,"6,643","17,593","5,203","7,455",,123,"17,333","3,864","1,336","2,921",,,"10,963","2,047",,
MURANG'A SOUTH,"37,654","34,203","2,011",,"12,936","31,932","12,222","9,470",,681,"20,062",941,"2,800","1,545",,,"7,831","3,037",,
GATANGA,"35,429","29,265","1,388",,"15,923","26,024","5,932","6,959",,734,"20,722","6,333","2,421","4,153",,,"12,711","2,902",,
KIGUMO,"31,110","26,237",345,,"10,591","20,959","4,411","5,784",,364,"16,971","7,138","1,355","4,143",,,"12,360","1,483",,
KANDARA,"38,624","34,630",576,,"23,019","31,103","9,081","11,657",,179,"27,558","4,914","2,577","3,914",,,"14,221","5,209",,
ABERDARE FOREST,2,1,,,2,,,,,,,2,,1,,,1,,,
KIAMBU,"214,052","144,125",,,"108,457","120,887","9,816","18,416",,,"74,810","41,121","17,996","28,684",,,"103,524","19,981",,
GATUNDU NORTH,"21,532","14,604",,,"9,382","11,788","1,170","3,276",,,"12,602","3,163","1,568","2,023",,,"7,309","2,228",,
GATUNDU SOUTH,"25,074","20,819",,,"17,143","18,372","2,420","4,625",,,"17,800","4,400","1,837","3,373",,,"11,440","4,949",,
GITHUNGURI,"29,745","23,166",,,"16,428","18,081","1,484","2,396",,,"16,563","7,734","3,565","4,711",,,"16,009","3,922",,
JUJA,"15,859","7,436",,,"2,362","6,226","1,062","1,416",,,"2,618","1,021","1,514","1,316",,,"3,870","1,046",,
KABETE,"15,713","8,812",,,"5,859","7,216",231,501,,,"2,999","1,917",811,"1,657",,,"8,232",808,,
KIAMBAA,"13,339","8,788",,,"5,605","7,620",461,973,,,"4,482","1,404","1,091","1,331",,,"6,127","1,208",,
KIAMBU,"10,505","6,657",,,"3,172","5,238",570,737,,,"4,229",835,909,955,,,"3,833","1,477",,
KIKUYU,"17,693","13,449",,,"12,438","12,733",338,782,,,"3,174","2,178","1,259","2,421",,,"8,210","1,054",,
LARI,"25,602","16,282",,,"19,240","12,158",305,"1,089",,,"4,896","12,078","1,578","4,917",,,"20,622",780,,
