County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,Don't Know,Not Stated
Female,"49,437","3,215","25,436","14,859","4,194","1,519",85,2,120,7
MERU SOUTH,"78,987","5,603","36,910","23,742","7,377","4,877",133,3,321,21
Male,"39,388","2,801","18,788","11,379","3,407","2,768",52,1,182,10
Female,"39,597","2,802","18,122","12,361","3,970","2,109",81,2,139,11
THARAKA NORTH,"42,198","5,122","25,671","8,426","1,881",776,136,,169,17
Male,"21,044","2,588","12,556","4,326",924,481,66,,93,10
Female,"21,153","2,534","13,114","4,100",957,295,70,,76,7
THARAKA SOUTH,"59,985","6,257","35,463","12,460","3,824","1,694",84,2,196,5
Male,"29,530","3,255","17,092","6,181","1,793","1,076",32,1,97,3
Female,"30,454","3,002","18,370","6,279","2,031",618,52,1,99,2
MT. KENYA FOREST,154,7,19,69,55,4,,,,
Male,71,4,9,47,10,1,,,,
Female,83,3,10,22,45,3,,,,
EMBU,"517,269","39,879","271,496","146,805","39,939","17,266",685,70,"1,078",51
Male,"262,672","20,404","140,414","72,471","18,732","9,718",234,34,643,22
Female,"254,578","19,472","131,075","74,326","21,207","7,547",451,36,435,29
EMBU EAST,"111,127","7,907","58,164","33,482","8,205","2,977",165,9,215,3
Male,"56,420","4,137","30,039","16,499","3,882","1,676",60,4,122,1
Female,"54,705","3,769","28,124","16,983","4,323","1,301",105,5,93,2
EMBU NORTH,"68,261","5,407","33,246","22,054","5,381","1,966",95,11,97,4
Male,"34,819","2,817","17,317","10,826","2,659","1,098",37,5,59,1
Female,"33,441","2,590","15,929","11,227","2,722",868,58,6,38,3
EMBU WEST,"109,340","7,180","46,795","33,914","13,714","7,255",131,42,300,9
Male,"54,284","3,645","24,206","16,202","5,981","3,993",50,20,182,5
Female,"55,047","3,535","22,586","17,707","7,733","3,261",81,22,118,4
MBEERE SOUTH,"138,377","11,709","79,786","35,718","7,653","2,956",214,6,305,30
Male,"71,777","5,979","41,714","18,231","3,868","1,715",64,4,188,14
Female,"66,595","5,729","38,069","17,486","3,785","1,241",150,2,117,16
MBEERE NORTH,"90,143","7,676","53,503","21,625","4,980","2,111",80,2,161,5
Male,"45,354","3,826","27,136","10,703","2,337","1,235",23,1,92,1
Female,"44,787","3,849","26,367","10,921","2,643",876,57,1,69,4
MT. KENYA FOREST,21,,2,12,6,1,,,,
Male,18,,2,10,5,1,,,,
Female,3,,,2,1,,,,,
KITUI,"908,143","86,386","554,768","188,690","52,313","20,242","1,275",53,"4,266",150
Male,"450,111","44,114","271,559","94,079","25,626","11,806",576,29,"2,261",61
Female,"458,011","42,268","283,196","94,608","26,687","8,435",699,24,"2,005",89
IKUTHA,"66,934","7,178","43,232","12,090","3,094",856,84,3,394,3
Male,"33,266","3,729","21,157","6,002","1,585",540,40,2,209,2
Female,"33,668","3,449","22,075","6,088","1,509",316,44,1,185,1
KATULANI,"38,698","2,961","21,960","10,038","2,622",941,45,2,129,
Male,"19,602","1,538","10,860","5,187","1,368",550,15,,84,
Female,"19,095","1,422","11,100","4,851","1,254",391,30,2,45,
KISASI,"37,580","3,612","23,696","7,854","1,600",653,45,,113,7
Male,"19,003","1,856","11,840","3,976",839,405,23,,63,1
Female,"18,577","1,756","11,856","3,878",761,248,22,,50,6
KITUI CENTRAL,"88,883","7,201","45,400","23,548","8,226","4,042",88,4,366,8
Male,"44,153","3,697","22,330","11,835","3,846","2,186",42,3,210,4
Female,"44,728","3,504","23,069","11,712","4,380","1,856",46,1,156,4
KITUI WEST,"59,783","4,907","34,392","14,104","4,375","1,706",59,1,239,
Male,"29,252","2,477","16,809","6,803","2,061",967,19,,116,
Female,"30,530","2,430","17,582","7,301","2,314",739,40,1,123,
KYUSO,"58,859","6,438","38,708","9,628","2,667",898,92,1,419,8
Male,"28,937","3,243","18,806","4,822","1,253",561,39,1,210,2
Female,"29,921","3,195","19,902","4,805","1,414",337,53,,209,6
LOWER YATTA,"51,367","4,351","31,077","11,972","2,441","1,199",73,3,245,6
Male,"26,288","2,290","15,702","6,123","1,294",711,28,2,137,1
Female,"25,079","2,061","15,375","5,849","1,147",488,45,1,108,5
MATINYANI,"40,061","3,415","22,851","9,644","2,964","1,019",51,,117,
Male,"20,200","1,760","11,455","4,794","1,540",562,25,,64,
Female,"19,860","1,655","11,395","4,850","1,424",457,26,,53,
MIGWANI,"65,677","5,421","37,789","15,379","4,742","1,818",94,2,408,24
Male,"31,764","2,730","18,147","7,353","2,208","1,053",21,1,238,13
Female,"33,910","2,691","19,640","8,026","2,534",764,73,1,170,11
MUMONI,"23,414","3,092","14,532","4,256",968,408,76,,80,2
Male,"11,198","1,524","6,781","2,081",486,237,41,,46,2
Female,"12,216","1,568","7,751","2,175",482,171,35,,34,
MUTITU,"41,209","4,208","28,177","6,630","1,437",512,47,1,148,49
Male,"20,372","2,200","13,641","3,314",785,306,29,,76,21
Female,"20,835","2,008","14,534","3,316",652,206,18,1,72,28
MUTITU NORTH,"17,006","1,495","11,064","3,279",783,280,32,,68,5
Male,"8,557",775,"5,479","1,655",418,174,11,,42,3
Female,"8,448",720,"5,584","1,624",365,106,21,,26,2
MUTOMO,"87,071","9,182","56,375","14,927","4,735","1,285",153,23,385,6
Male,"43,400","4,697","27,845","7,391","2,383",798,71,15,196,4
Female,"43,668","4,484","28,528","7,536","2,352",487,82,8,189,2
MWINGI CENTRAL,"86,387","8,287","51,768","18,571","4,938","2,298",125,11,374,15
Male,"42,345","4,157","25,320","9,062","2,244","1,300",63,5,190,4
Female,"44,042","4,130","26,448","9,509","2,694",998,62,6,184,11
MWINGI EAST,"64,565","6,680","42,938","10,938","2,588",855,96,,453,17
Male,"31,539","3,436","20,562","5,492","1,246",543,45,,211,4
Female,"33,022","3,243","22,374","5,445","1,342",312,51,,242,13
NZAMBANI,"38,625","3,490","23,131","8,678","2,249",918,47,2,110,
Male,"19,454","1,764","11,467","4,511","1,093",538,26,,55,
Female,"19,170","1,725","11,664","4,167","1,156",380,21,2,55,
THAGICU,"11,778","1,261","7,494","2,196",593,162,10,,62,
Male,"5,745",625,"3,618","1,065",286,108,3,,40,
Female,"6,032",636,"3,875","1,131",307,54,7,,22,
TSEIKURU,"30,246","3,207","20,184","4,958","1,291",392,58,,156,
Male,"15,036","1,616","9,740","2,613",691,267,35,,74,
Female,"15,210","1,591","10,444","2,345",600,125,23,,82,
MACHAKOS,"1,228,605","91,158","605,286","361,368","109,524","55,124","1,773",62,"4,111",199
Male,"621,093","46,744","302,447","183,086","54,430","31,211",660,31,"2,381",103
Female,"607,488","44,411","302,828","178,274","55,092","23,913","1,113",31,"1,730",96
ATHI RIVER,"282,339","20,829","95,474","96,691","39,028","28,854",173,9,"1,154",127
Male,"143,817","10,616","47,853","49,922","18,999","15,607",78,4,673,65
Female,"138,521","10,212","47,621","46,769","20,029","13,247",95,5,481,62
KALAMA,"45,900","3,813","24,465","13,378","2,881",972,209,2,179,1
Male,"22,978","1,953","12,067","6,709","1,458",613,78,,99,1
Female,"22,917","1,860","12,396","6,666","1,423",359,131,2,80,
KANGUNDO,"87,052","5,832","44,595","28,309","6,100","1,852",174,3,185,2
Male,"43,862","2,931","22,174","14,262","3,223","1,123",40,2,106,1
Female,"43,189","2,901","22,421","14,046","2,877",729,134,1,79,1
KATHIANI,"97,951","6,928","56,862","25,094","6,788","1,824",160,14,268,13
Male,"48,853","3,532","27,829","12,599","3,512","1,163",42,7,163,6
Female,"49,094","3,395","29,031","12,494","3,276",661,118,7,105,7
